Frequency_fct,LARVcov,Decay2,mean.val,EIR,decayLabel
5,0,decay_5dayStep,0,3,"decay
5dayStep"
60,0,decay_5dayStep,0,3,"decay
5dayStep"
10,0,decay_5dayStep,0,3,"decay
5dayStep"
15,0,decay_5dayStep,0,3,"decay
5dayStep"
20,0,decay_5dayStep,0,3,"decay
5dayStep"
30,0,decay_5dayStep,0,3,"decay
5dayStep"
once,0,decay_5dayStep,0,3,"decay
5dayStep"
5,0,decay_5dayStep,0,10,"decay
5dayStep"
60,0,decay_5dayStep,0,10,"decay
5dayStep"
10,0,decay_5dayStep,0,10,"decay
5dayStep"
15,0,decay_5dayStep,0,10,"decay
5dayStep"
20,0,decay_5dayStep,0,10,"decay
5dayStep"
30,0,decay_5dayStep,0,10,"decay
5dayStep"
once,0,decay_5dayStep,0,10,"decay
5dayStep"
once,20,decay_5dayStep,0,10,"decay
5dayStep"
once,40,decay_5dayStep,0,10,"decay
5dayStep"
5,0,decay_5dayStep,0,90,"decay
5dayStep"
60,0,decay_5dayStep,0,90,"decay
5dayStep"
60,20,decay_5dayStep,0,90,"decay
5dayStep"
60,40,decay_5dayStep,0,90,"decay
5dayStep"
10,0,decay_5dayStep,0,90,"decay
5dayStep"
15,0,decay_5dayStep,0,90,"decay
5dayStep"
15,20,decay_5dayStep,0,90,"decay
5dayStep"
20,0,decay_5dayStep,0,90,"decay
5dayStep"
20,20,decay_5dayStep,0,90,"decay
5dayStep"
30,0,decay_5dayStep,0,90,"decay
5dayStep"
30,20,decay_5dayStep,0,90,"decay
5dayStep"
once,0,decay_5dayStep,0,90,"decay
5dayStep"
once,20,decay_5dayStep,0,90,"decay
5dayStep"
once,40,decay_5dayStep,0,90,"decay
5dayStep"
once,60,decay_5dayStep,0,90,"decay
5dayStep"
once,80,decay_5dayStep,0,90,"decay
5dayStep"
once,100,decay_5dayStep,0,90,"decay
5dayStep"
60,20,decay_5dayStep,1,3,"decay
5dayStep"
30,20,decay_5dayStep,1,3,"decay
5dayStep"
once,20,decay_5dayStep,1,3,"decay
5dayStep"
60,20,decay_5dayStep,1,10,"decay
5dayStep"
60,40,decay_5dayStep,1,10,"decay
5dayStep"
20,20,decay_5dayStep,1,10,"decay
5dayStep"
30,20,decay_5dayStep,1,10,"decay
5dayStep"
once,60,decay_5dayStep,1,10,"decay
5dayStep"
once,80,decay_5dayStep,1,10,"decay
5dayStep"
once,100,decay_5dayStep,1,10,"decay
5dayStep"
60,60,decay_5dayStep,1,90,"decay
5dayStep"
60,80,decay_5dayStep,1,90,"decay
5dayStep"
60,100,decay_5dayStep,1,90,"decay
5dayStep"
10,20,decay_5dayStep,1,90,"decay
5dayStep"
15,40,decay_5dayStep,1,90,"decay
5dayStep"
20,40,decay_5dayStep,1,90,"decay
5dayStep"
20,60,decay_5dayStep,1,90,"decay
5dayStep"
30,40,decay_5dayStep,1,90,"decay
5dayStep"
30,60,decay_5dayStep,1,90,"decay
5dayStep"
30,80,decay_5dayStep,1,90,"decay
5dayStep"
30,100,decay_5dayStep,1,90,"decay
5dayStep"
60,40,decay_5dayStep,2,3,"decay
5dayStep"
30,40,decay_5dayStep,2,3,"decay
5dayStep"
once,40,decay_5dayStep,2,3,"decay
5dayStep"
60,60,decay_5dayStep,2,10,"decay
5dayStep"
60,80,decay_5dayStep,2,10,"decay
5dayStep"
15,20,decay_5dayStep,2,10,"decay
5dayStep"
30,40,decay_5dayStep,2,10,"decay
5dayStep"
5,20,decay_5dayStep,2,90,"decay
5dayStep"
10,40,decay_5dayStep,2,90,"decay
5dayStep"
15,60,decay_5dayStep,2,90,"decay
5dayStep"
20,80,decay_5dayStep,2,90,"decay
5dayStep"
20,100,decay_5dayStep,2,90,"decay
5dayStep"
60,60,decay_5dayStep,3,3,"decay
5dayStep"
60,80,decay_5dayStep,3,3,"decay
5dayStep"
15,20,decay_5dayStep,3,3,"decay
5dayStep"
20,20,decay_5dayStep,3,3,"decay
5dayStep"
once,60,decay_5dayStep,3,3,"decay
5dayStep"
60,100,decay_5dayStep,3,10,"decay
5dayStep"
10,20,decay_5dayStep,3,10,"decay
5dayStep"
20,40,decay_5dayStep,3,10,"decay
5dayStep"
30,60,decay_5dayStep,3,10,"decay
5dayStep"
10,60,decay_5dayStep,3,90,"decay
5dayStep"
15,80,decay_5dayStep,3,90,"decay
5dayStep"
15,100,decay_5dayStep,3,90,"decay
5dayStep"
10,20,decay_5dayStep,4,3,"decay
5dayStep"
30,60,decay_5dayStep,4,3,"decay
5dayStep"
once,80,decay_5dayStep,4,3,"decay
5dayStep"
once,100,decay_5dayStep,4,3,"decay
5dayStep"
15,40,decay_5dayStep,4,10,"decay
5dayStep"
30,80,decay_5dayStep,4,10,"decay
5dayStep"
5,40,decay_5dayStep,4,90,"decay
5dayStep"
10,80,decay_5dayStep,4,90,"decay
5dayStep"
60,100,decay_5dayStep,5,3,"decay
5dayStep"
20,40,decay_5dayStep,5,3,"decay
5dayStep"
30,80,decay_5dayStep,5,3,"decay
5dayStep"
5,20,decay_5dayStep,5,10,"decay
5dayStep"
10,40,decay_5dayStep,5,10,"decay
5dayStep"
20,60,decay_5dayStep,5,10,"decay
5dayStep"
30,100,decay_5dayStep,5,10,"decay
5dayStep"
15,40,decay_5dayStep,6,3,"decay
5dayStep"
15,60,decay_5dayStep,6,10,"decay
5dayStep"
20,80,decay_5dayStep,6,10,"decay
5dayStep"
10,100,decay_5dayStep,6,90,"decay
5dayStep"
20,60,decay_5dayStep,7,3,"decay
5dayStep"
30,100,decay_5dayStep,7,3,"decay
5dayStep"
15,80,decay_5dayStep,7,10,"decay
5dayStep"
20,100,decay_5dayStep,7,10,"decay
5dayStep"
5,60,decay_5dayStep,7,90,"decay
5dayStep"
10,60,decay_5dayStep,8,10,"decay
5dayStep"
10,40,decay_5dayStep,9,3,"decay
5dayStep"
15,60,decay_5dayStep,9,3,"decay
5dayStep"
5,20,decay_5dayStep,10,3,"decay
5dayStep"
20,80,decay_5dayStep,10,3,"decay
5dayStep"
15,100,decay_5dayStep,10,10,"decay
5dayStep"
5,40,decay_5dayStep,11,10,"decay
5dayStep"
5,80,decay_5dayStep,11,90,"decay
5dayStep"
15,80,decay_5dayStep,12,3,"decay
5dayStep"
20,100,decay_5dayStep,12,3,"decay
5dayStep"
10,80,decay_5dayStep,12,10,"decay
5dayStep"
10,60,decay_5dayStep,13,3,"decay
5dayStep"
15,100,decay_5dayStep,14,3,"decay
5dayStep"
10,100,decay_5dayStep,15,10,"decay
5dayStep"
10,80,decay_5dayStep,17,3,"decay
5dayStep"
5,60,decay_5dayStep,17,10,"decay
5dayStep"
5,100,decay_5dayStep,17,90,"decay
5dayStep"
5,40,decay_5dayStep,18,3,"decay
5dayStep"
10,100,decay_5dayStep,22,3,"decay
5dayStep"
5,80,decay_5dayStep,24,10,"decay
5dayStep"
5,60,decay_5dayStep,26,3,"decay
5dayStep"
5,100,decay_5dayStep,32,10,"decay
5dayStep"
5,80,decay_5dayStep,35,3,"decay
5dayStep"
5,100,decay_5dayStep,43,3,"decay
5dayStep"
