file,BsLARVcov,BtiLARVcov,models,seed
wu20181002_LSM_Fillinger2006_test_0.xml,BsLARVcov0,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_1.xml,BsLARVcov10,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_2.xml,BsLARVcov100,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_3.xml,BsLARVcov20,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_4.xml,BsLARVcov30,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_5.xml,BsLARVcov40,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_6.xml,BsLARVcov50,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_7.xml,BsLARVcov60,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_8.xml,BsLARVcov70,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_9.xml,BsLARVcov80,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_10.xml,BsLARVcov90,BtiLARVcov0,base,1
wu20181002_LSM_Fillinger2006_test_11.xml,BsLARVcov0,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_12.xml,BsLARVcov10,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_13.xml,BsLARVcov100,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_14.xml,BsLARVcov20,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_15.xml,BsLARVcov30,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_16.xml,BsLARVcov40,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_17.xml,BsLARVcov50,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_18.xml,BsLARVcov60,BtiLARVcov10,base,1
wu20181002_LSM_Fillinger2006_test_19.xml,BsLARVcov70,BtiLARVcov10,base,1
