file,developmentDuration,developmentSurvival,EIR,femaleEggsLaidByOviposit,LARVcov,LSMDeployTime,models,Seasonality_grp,seed
wu31052019_LSM_forPaper_constant_duration_0.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_1.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_2.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_3.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_4.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_5.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_6.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_7.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_8.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_9.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_10.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_11.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_12.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_13.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_14.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_15.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_16.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_17.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit200,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_18.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_19.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_20.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_21.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_22.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_23.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_24.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_25.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_26.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_27.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_28.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_29.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_30.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit50,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
