PostInterventionDays,Decay2,EIR,Frequency,Frequency_fct,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
-10,decay_5dayStep,10,1,5,80,Nv,Host-seeking mosquitoes,-1.602102042181,2.80639065438281,0.127012724111176,0.117167367498763,1.20156226559773,18,-0.662398140577092,1.05078653491521,-1.54012530934775,2.32781979721355,0.283210942007342,-0.470510133148763,0.724535581371115,0
-10,decay_5dayStep,10,1,5,80,Nv0,Mosquito emergence,-1.58749831584886,2.79440977934097,0.12995255822748,0.115092920872667,1.19849067981476,18,-0.671276004279782,1.05920331244293,-1.52928032428574,2.32204368256186,0.282486962295297,-0.466042835357951,0.725947951812911,0
-10,decay_5dayStep,10,1,5,80,PR,Prevalence,-3.64057064063423,2.21578674118033,-0.507566078377219,-0.390464362598821,1.64045742709775,18,-1.29826442871229,0.276909012261091,-3.46347130963472,2.0084616214556,0.386659523649553,-1.32334636469065,0.308214207936217,0
-10,decay_5dayStep,10,1,5,80,simulatedEIR,EIR,-4.2822511231273,4.29506867447269,-0.437525030165457,-0.673972888674247,2.2726047199125,18,-2.01699240967924,0.728178311288883,-3.96790050006522,4.02285996197413,0.535658069468894,-1.56766476952305,0.692614709192136,0
-10,decay_5dayStep,10,12,60,80,Nv,Host-seeking mosquitoes,-1.26990458330913,2.83783994818299,0.224393206756521,0.110177681131235,1.07424819265068,18,-0.462755637599696,0.549225176578507,-1.23262708483974,2.33823286972796,0.253202727233562,-0.309817851510727,0.75860426502377,0
-10,decay_5dayStep,10,12,60,80,Nv0,Mosquito emergence,-1.2494343541749,2.85399259637601,0.225085016587891,0.109118715309763,1.07585429878146,18,-0.472176407349857,0.547315157594906,-1.22342208412599,2.34515884342362,0.253581290079023,-0.309924739467902,0.760094772643683,0
-10,decay_5dayStep,10,12,60,80,PR,Prevalence,-2.52500833028637,2.03025147753545,-0.239132993786686,-0.324199676249785,1.26778174670756,18,-1.03376626586489,0.580721397667979,-2.30033169094938,1.79316947977875,0.298819023387148,-0.869586024281829,0.391320036708458,0
-10,decay_5dayStep,10,12,60,80,simulatedEIR,EIR,-4.6346469228146,4.2454990957627,-0.235938970774429,0.0692542099734721,2.45120239584173,18,-2.0843046569088,1.09145900017083,-4.38249414937025,3.9923823924522,0.577753945386801,-1.45489324490616,0.983015303357303,0
-10,decay_5dayStep,10,2,10,80,Nv,Host-seeking mosquitoes,-1.30006097578028,2.4664889944311,0.255599852963962,0.373068882494615,1.07390802464576,18,-0.769075770089738,0.895299211925152,-1.24172144253327,2.14712076899154,0.253122548865888,-0.278442043734163,0.789641749662088,0
-10,decay_5dayStep,10,2,10,80,Nv0,Mosquito emergence,-1.28054927795603,2.4636967413051,0.257843738891344,0.372084633638482,1.06901432640778,18,-0.775901574412184,0.8941931911975,-1.22004796048874,2.14209640943942,0.251969093129503,-0.273764578925815,0.789452056708502,0
-10,decay_5dayStep,10,2,10,80,PR,Prevalence,-2.52886806296772,2.35784224582638,-0.0123090882040475,-0.174762275991601,1.47463510043237,18,-1.36135799768561,1.11719520583772,-2.23422602803263,2.16970578037492,0.347574826430479,-0.745627871469783,0.721009695061688,0
-10,decay_5dayStep,10,2,10,80,simulatedEIR,EIR,-2.76464804112695,3.40285363100134,0.302594776647693,0.526196564331266,2.06686020882948,18,-1.37602716012219,2.07398272787891,-2.7318816712852,3.34359816259835,0.487163623142657,-0.725230624412404,1.33042017770779,0
-10,decay_5dayStep,10,3,15,80,Nv,Host-seeking mosquitoes,-1.17742950633179,1.39932739921957,-0.0542286342566491,-0.146840292431321,0.78042421542872,18,-0.630428904655432,0.473652707126508,-1.15318515639487,1.30016770840915,0.183947751643946,-0.442324466182461,0.333867197669163,0
-10,decay_5dayStep,10,3,15,80,Nv0,Mosquito emergence,-1.15962872821017,1.40206632351351,-0.0514339007582742,-0.13215300027755,0.778010858065471,18,-0.621623559909339,0.474488566971158,-1.14177192823192,1.30022263442863,0.183378917858286,-0.438329598301903,0.335461796785355,0
-10,decay_5dayStep,10,3,15,80,PR,Prevalence,-1.51459954094777,2.04855271631808,-0.00232699653465159,0.00662501924478455,0.902482326031183,18,-0.611765580812108,0.645284756991669,-1.39539280162982,1.56224234689234,0.212717124212553,-0.4511208988702,0.446466905800897,0
-10,decay_5dayStep,10,3,15,80,simulatedEIR,EIR,-3.3323118556822,3.42717973252712,-0.516147917016441,-0.834968317040805,2.11403237927255,18,-2.08716646503271,1.42237233175871,-3.2716638144601,3.06424221557979,0.49828221034385,-1.56743148655711,0.53513565252423,0
-10,decay_5dayStep,10,4,20,80,Nv,Host-seeking mosquitoes,-2.71604172477056,1.56330150108395,-0.246210357253802,-0.252544032418185,1.04944193811368,18,-0.8884678654713,0.265200901439116,-2.15861397215768,1.42224387026144,0.247355836967245,-0.768085555355293,0.27566484084769,0
-10,decay_5dayStep,10,4,20,80,Nv0,Mosquito emergence,-2.7132731955566,1.54742253597882,-0.251119042435351,-0.248925472619151,1.04830343774357,18,-0.884976090008957,0.249448299047477,-2.17053653934016,1.41201289138337,0.247087489856549,-0.772428077622429,0.270189992751727,0
-10,decay_5dayStep,10,4,20,80,PR,Prevalence,-3.10654247448857,2.94354179721688,-0.304906146091023,-0.387875365968334,1.67753377153806,18,-1.5806672117794,0.657283720800139,-2.88196521936493,2.5551777407097,0.395398501841336,-1.13912406472783,0.529311772545782,0
-10,decay_5dayStep,10,4,20,80,simulatedEIR,EIR,-4.75956208639959,4.54494362539826,-0.398037460920612,-0.926033706945782,2.46901713456969,18,-1.98189654794797,1.42107746022089,-4.19399466964912,3.91422595615909,0.581952919573335,-1.62585079620201,0.829775874360789,0
-10,decay_5dayStep,10,6,30,80,Nv,Host-seeking mosquitoes,-2.1759605097594,2.33292452254871,0.618006957970056,1.07507520846847,1.37101601521358,18,-0.0995107125971722,1.54253146382526,-1.96986103461238,2.26602748631711,0.323151573824294,-0.0637832664857936,1.29979718242591,0
-10,decay_5dayStep,10,6,30,80,Nv0,Mosquito emergence,-2.17654397898023,2.33314036775492,0.620544162321162,1.08779150545397,1.37426495326955,18,-0.119789046836004,1.55475933880402,-1.97141720140825,2.2619751059045,0.323917355867971,-0.0628617210196604,1.30395004566198,0
-10,decay_5dayStep,10,6,30,80,PR,Prevalence,-2.74437428019254,2.71573739952708,0.25502778802785,0.347107042987,1.17417174768649,18,-0.368526050554646,0.88088101398295,-1.98307606291304,2.19243419053594,0.276754935022259,-0.32887408512436,0.838929661180059,0
-10,decay_5dayStep,10,6,30,80,simulatedEIR,EIR,-3.89550993118299,4.00751636700953,0.774766465038188,1.34589691502797,2.20433224397513,18,-0.0169653527026949,2.01463196555965,-3.46453378912677,3.70309356593504,0.519566092567657,-0.321422170775042,1.87095510085142,0
-10,decay_5dayStep,10,once,once,80,Nv,Host-seeking mosquitoes,-2.37871689266545,0.929368564827428,-0.274529054357232,-0.13189578377271,0.976328433255992,18,-0.786581672885413,0.498405151270247,-2.27251078903851,0.922121833185096,0.23012281860685,-0.760045761868874,0.210987653154411,0
-10,decay_5dayStep,10,once,once,80,Nv0,Mosquito emergence,-2.368969526717,0.926171491861142,-0.27876524244613,-0.131633275723178,0.973490191946849,18,-0.783635550979801,0.474278628666357,-2.26787657239882,0.92434822797189,0.229453838714737,-0.762870525760135,0.205340040867875,0
-10,decay_5dayStep,10,once,once,80,PR,Prevalence,-2.75502395980702,1.49145379363325,-0.248786209866977,-0.0168927370045703,1.13041379209384,18,-0.878609493653184,0.569749043224531,-2.46476498487199,1.29742286542033,0.266441085978785,-0.810927763639844,0.31335534390589,0
-10,decay_5dayStep,10,once,once,80,simulatedEIR,EIR,-4.05586755851497,3.1483374530972,-0.657120549205378,-0.69641018067403,1.99917490892157,18,-2.13068925015967,0.806417624614833,-3.81858463267938,2.73774033634569,0.471210044958815,-1.65128684249102,0.337045744080266,0
-5,decay_5dayStep,10,1,5,80,Nv,Host-seeking mosquitoes,-1.60199533640827,2.806010382347,0.126944919138749,0.116964407761607,1.20164396771024,18,-0.662106975085964,1.05043467833124,-1.54045037279138,2.32788182544374,0.283230199379939,-0.470618567625882,0.724508405903381,0
-5,decay_5dayStep,10,1,5,80,Nv0,Mosquito emergence,-1.58749831584886,2.79440977934097,0.129977112241852,0.115187268472161,1.19850434001454,18,-0.671393444943066,1.05920331244293,-1.52928032428574,2.32211613898528,0.282490182035263,-0.466025074401116,0.725979298884819,0
-5,decay_5dayStep,10,1,5,80,PR,Prevalence,-3.85925654179786,1.85220483396558,-0.542363284394,-0.485786569019998,1.72211251978991,18,-1.42248021987752,0.495832796376338,-3.70366863120555,1.79265226412619,0.4059058135699,-1.39874969299688,0.31402312420888,0
-5,decay_5dayStep,10,1,5,80,simulatedEIR,EIR,-4.29210748618743,4.20645549860175,-0.462264717703187,-0.649591334608982,2.28217547517853,18,-2.06046093935452,0.736132263827641,-4.01470508773509,3.9397014268883,0.537913918118791,-1.59716388168357,0.672634446277193,0
-5,decay_5dayStep,10,12,60,80,Nv,Host-seeking mosquitoes,-1.26919418341407,2.83773080662574,0.224396373263672,0.11047721816447,1.07411598906264,18,-0.462809248241804,0.549688710313185,-1.23221512764826,2.33797227293226,0.25317156654903,-0.309748941705937,0.75854168823328,0
-5,decay_5dayStep,10,12,60,80,Nv0,Mosquito emergence,-1.2494343541749,2.85399259637601,0.225066218145723,0.108985629155922,1.07583330298838,18,-0.472176407349857,0.547246322911035,-1.22334878130812,2.34519771478229,0.253576341323135,-0.309933096947805,0.760065533239251,0
-5,decay_5dayStep,10,12,60,80,PR,Prevalence,-2.70133066593629,2.4362293200031,-0.263954261820166,-0.337105374825424,1.32083912369868,18,-0.897994396491849,0.739877738939405,-2.43110114791989,1.93986777432385,0.311324767074611,-0.92079210515951,0.392883581519177,0
