month,EIR,Duration_mth,SeasonID,SeasonID_label,deploy_mth,EffectSeason,LARVcov,red_PR,deploy_mth_adj,WetSeason,movingCoverage
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,40,19.8171484577739,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,40,24.9256759369026,-3,-5,40
1,90,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,40,5.96351710993411,-3,-5,40
1,10,4,1-1,"Medium seasonality,
one transmission season",1,Most effective,40,17.8021293229728,-3,-5,40
1,3,4,1-1,"Medium seasonality,
one transmission season",1,Most effective,40,32.6166955355705,-3,-5,40
1,90,4,1-1,"Medium seasonality,
one transmission season",1,Most effective,40,4.16634250769989,-3,-5,40
1,10,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,40,15.2853350820082,-3,-5,40
1,3,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,40,26.4524403409698,-3,-5,40
1,90,4,1-2,"Medium seasonality,
two transmission seasons",1,Most effective,40,4.23764042028305,-3,-5,40
1,10,4,2-1,"High seasonality,
one transmission season",1,Most effective,40,22.0353392805399,-3,-5,40
1,3,4,2-1,"High seasonality,
one transmission season",1,Most effective,40,39.551855238605,-3,-5,40
1,90,4,2-1,"High seasonality,
one transmission season",1,Most effective,40,3.99655347805798,-3,-5,40
2,10,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,40,14.7353690423322,-2,-5,40
2,3,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,40,32.7442163982597,-2,-5,40
2,90,4,2-2,"High seasonality,
two transmission seasons",2,Most effective,40,2.19648329613856,-2,-5,40
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,40,14.4700453777851,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,40,24.1967554341024,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,40,2.43941535827082,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,40,12.802555430047,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,40,22.5510234597378,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,40,0.994805127253765,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,40,16.8505414384194,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,40,36.6479082339925,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,40,1.82785319133005,-2,-5,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,40,10.1386186310708,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,40,26.1126257150935,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,40,1.09982855993365,-1,-5,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,40,11.585737947907,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,40,19.5108100935533,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,40,2.24434841692541,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,40,10.1349090659796,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,40,17.7405174631216,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,40,1.62746320432278,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,40,10.1769171999613,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,40,26.9820631530051,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,40,2.38309057916067,-1,-5,40
