month,EIR,Duration_mth,SeasonID,SeasonID_label,deploy_mth,EffectSeason,LARVcov,red_PR,deploy_mth_adj,WetSeason,movingCoverage
1,10,4,0,No seasonality,1,Most effective,0,0,-3,,40
1,10,4,0,No seasonality,1,Most effective,20,5.55493751632524,-3,,40
1,10,4,0,No seasonality,1,Most effective,40,11.3985804937128,-3,,40
1,10,4,0,No seasonality,1,Most effective,60,16.7963041284503,-3,,40
1,10,4,0,No seasonality,1,Most effective,80,23.5692255441221,-3,,40
1,10,4,0,No seasonality,1,Most effective,100,31.5368730951219,-3,,40
1,3,4,0,No seasonality,1,Most effective,0,0,-3,,40
1,3,4,0,No seasonality,1,Most effective,20,12.897874904001,-3,,40
1,3,4,0,No seasonality,1,Most effective,40,15.5276619509794,-3,,40
1,3,4,0,No seasonality,1,Most effective,60,23.0587700198004,-3,,40
1,3,4,0,No seasonality,1,Most effective,80,34.2416360034323,-3,,40
1,3,4,0,No seasonality,1,Most effective,100,43.0514640622066,-3,,40
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,0,0,-3,-5,40
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,20,8.09019584716018,-3,-5,40
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,40,19.8171484577739,-3,-5,40
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,60,33.6025080026995,-3,-5,40
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,80,54.0454677197793,-3,-5,40
1,10,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,100,76.3726612230925,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,0,0,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,20,21.6223732369156,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,40,24.9256759369026,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,60,53.9849776744298,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,80,72.8706100107412,-3,-5,40
1,3,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,100,87.0294085059358,-3,-5,40
1,90,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,0,0,-3,-5,40
1,90,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,20,1.62084893691692,-3,-5,40
1,90,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,40,5.96351710993411,-3,-5,40
1,90,4,2-2,"High seasonality,
two transmission seasons",1,Most effective,60,10.9115143964442,-3,-5,40
