outcome,Frequency,Frequency_fct,LARVcov,mean.val_120,mean.val_485,min.val_120,min.val_485,max.val_120,max.val_485,outcome2
Nv,1,5,20,20.5992193862637,-0.220808215046062,18.0880070380524,-2.54280034762435,23.0310694126884,2.43942599980682,Nv
"Relative reduction
in prevalence",1,5,20,5.17057815002817,1.55155818832303,3.00440920438502,-0.17044246745036,7.28802512216591,4.26635255377342,Prevalence
"Relative reduction
in EIR",1,5,20,23.6230648476182,1.7806575672342,20.7094759279387,-0.881312884456039,26.8921805754014,5.77185641057057,EIR
Nv,1,5,40,41.7083351415255,0.284291825388794,39.4433230627911,-1.33122961673015,46.9498091583642,2.53756262314888,Nv
"Relative reduction
in prevalence",1,5,40,10.5754031396353,2.46161400597249,7.260242343822,-1.92663672380618,13.1514639910562,4.34271076957385,Prevalence
"Relative reduction
in EIR",1,5,40,45.8929085963286,3.95984341168748,42.654060081029,-2.13857849679983,51.878338400785,8.0255143956712,EIR
Nv,1,5,60,62.2059538105434,-0.202461235018607,59.4376384041301,-2.30853868075812,69.7917849817747,2.42661840438077,Nv
"Relative reduction
in prevalence",1,5,60,17.1428080010477,4.93054150667248,13.5652004485667,1.08830621927103,19.2359772258186,7.27892378686647,Prevalence
"Relative reduction
in EIR",1,5,60,66.6746265605135,7.01618882655978,63.2392237100318,0.434664807665957,72.9580554906022,11.7232303274772,EIR
Nv,1,5,80,82.8768842101546,0.127067111774402,80.1567181502118,-1.60017518631163,91.7017177171256,2.80452909781745,Nv
"Relative reduction
in prevalence",1,5,80,24.1174619559341,7.60685172006298,20.666243003531,3.73419669273423,26.2657805519985,10.7028589546606,Prevalence
"Relative reduction
in EIR",1,5,80,85.4108303179574,10.5460198560816,83.2294834419161,6.69661168274129,92.0235357322849,14.3693417937502,EIR
Nv,1,5,100,99.9952873685049,-0.186788911335963,99.9951982574656,-2.04280592942405,99.9953706887688,1.58398443445551,Nv
"Relative reduction
in prevalence",1,5,100,31.5807836044647,15.9137147597493,30.0098818407233,12.4566587998004,34.3129741846591,25.275509591656,Prevalence
"Relative reduction
in EIR",1,5,100,99.922444398393,20.8496237665904,99.9198800469551,14.8929344880584,99.92540537715,32.4807979605537,EIR
Nv,12,60,20,0.252549281796576,0.143363894622083,-1.51520583087108,-1.60689896354423,2.01798309370235,1.9241035974174,Nv
"Relative reduction
in prevalence",12,60,20,0.647922099818675,0.397091785717103,-2.39578225032319,-1.44154125669498,3.47180177710362,2.28188248497956,Prevalence
"Relative reduction
in EIR",12,60,20,1.24765942006535,0.403191837464919,-3.01494103054158,-3.03085757319364,3.43961068734442,3.33536520294325,EIR
Nv,12,60,40,0.434255210573604,0.212481297272677,-1.22257885378205,-1.404430263917,3.58565014666975,3.39510068732416,Nv
"Relative reduction
in prevalence",12,60,40,1.02045044913507,0.312742789023751,-1.4762180261397,-1.73140859047912,3.39326189002586,2.69103793899556,Prevalence
"Relative reduction
in EIR",12,60,40,2.27406068596856,0.485676774481661,-1.20180697484585,-2.70500958493128,5.33144360817585,4.21377816561016,EIR
Nv,12,60,60,0.513902090718756,0.177856838548136,-1.26722633115716,-1.5300384537208,2.47777402701444,2.18494816542849,Nv
"Relative reduction
in prevalence",12,60,60,1.55506432896503,0.51957151071666,-0.598898808870982,-1.05127871437167,3.61108512952894,2.56279514069281,Prevalence
"Relative reduction
in EIR",12,60,60,3.22358438819887,0.628813333076375,-0.503122843038203,-3.0920747094026,6.47746851042824,4.51023694265665,EIR
Nv,12,60,80,0.677667435087071,0.225423352551651,-0.931937656478592,-1.2682646263027,3.23269063954613,2.84223976313073,Nv
"Relative reduction
in prevalence",12,60,80,2.26720286264367,0.581352976803328,-0.555030024981807,-1.67839396403846,3.71932732623739,2.56911570070356,Prevalence
"Relative reduction
in EIR",12,60,80,4.70642874225875,0.809184769865057,0.114980325324766,-3.45364954319103,8.23679153135613,5.72056415251669,EIR
Nv,12,60,100,0.932861666891578,0.361384495147794,-0.837765608605641,-1.24951352128177,2.74328744889312,2.3365465756699,Nv
"Relative reduction
in prevalence",12,60,100,3.12939969247504,1.10965329374181,0.268248725107072,-1.12686519497413,5.68470183970221,3.51332946058947,Prevalence
"Relative reduction
in EIR",12,60,100,6.1763728276321,1.48517585378193,2.74833187186182,-1.26236573178857,10.7280350512665,5.16243045203023,EIR
Nv,2,10,20,9.70650695930652,0.21731296596614,8.07713897607407,-1.42619778066776,12.7789281000659,2.59989326507879,Nv
"Relative reduction
in prevalence",2,10,20,2.9310604356617,0.765943721619217,0.303961249059961,-2.10053328602951,5.12171715409287,2.17673422674589,Prevalence
"Relative reduction
in EIR",2,10,20,12.8884061392795,1.52661229250562,8.37423562685133,-3.19106420779277,16.8371705223951,5.02205483692338,EIR
Nv,2,10,40,18.9240615281026,-0.134241588209579,16.8810452692821,-1.98993896920157,23.6574008485094,2.42177984660739,Nv
"Relative reduction
in prevalence",2,10,40,5.37069591123115,1.4537195166265,3.65868988145497,-1.58204232604529,7.92782626355032,3.91535905704109,Prevalence
"Relative reduction
in EIR",2,10,40,24.1885340790129,1.95404877196698,20.4342261195417,-2.65585330790579,28.4107823366646,6.625501048905,EIR
Nv,2,10,60,28.4215833483237,-0.21777078063466,26.3907107741936,-1.99296579076505,33.2162323177082,1.40815602736872,Nv
"Relative reduction
in prevalence",2,10,60,8.39208439649023,2.67487188682968,6.53632199649619,0.397012436474539,10.4592543651673,5.53136999324288,Prevalence
"Relative reduction
in EIR",2,10,60,36.0392702581106,3.36383905440034,32.2110304184451,-1.16604762723973,40.7001092553666,6.80868774769442,EIR
Nv,2,10,80,38.2997731050579,0.255580465887225,36.0557805012091,-1.30062021294773,45.2207742889101,2.47170842907549,Nv
"Relative reduction
in prevalence",2,10,80,11.5927215080829,3.43839872191973,9.19484422556295,1.21793862113567,13.04833582259,5.51644606122325,Prevalence
"Relative reduction
in EIR",2,10,80,47.1774127185326,5.19138963397964,44.5347910230024,1.74561159797621,53.2277148897835,8.20461665912244,EIR
Nv,2,10,100,47.7505467081882,-0.0239604186523636,44.7927090387906,-1.85687680865999,57.7274714084959,2.26943888905905,Nv
"Relative reduction
in prevalence",2,10,100,14.8382494166567,4.28801089165647,12.234641398392,1.2191995340506,17.972226934816,8.21575360975669,Prevalence
"Relative reduction
in EIR",2,10,100,57.8892619927446,6.47573775963218,54.8369615504536,2.31253993184719,65.9263073504385,11.3484005440895,EIR
Nv,3,15,20,5.0448504119103,0.0298728565487555,3.02629982002625,-1.9397649695806,6.92465138768583,1.68354006188591,Nv
"Relative reduction
in prevalence",3,15,20,1.6583395562566,0.082793930258786,-0.129701829491637,-1.97933723640332,3.96792430161574,2.43657002020312,Prevalence
"Relative reduction
in EIR",3,15,20,8.02265020485172,0.812379362703438,5.73811438299241,-2.82981718011097,11.4434179964332,5.01310758070007,EIR
Nv,3,15,40,10.2724326501939,0.254384846019833,8.37352489116706,-1.35639575467274,12.4643400480938,2.39241569941285,Nv
"Relative reduction
in prevalence",3,15,40,3.64682586529819,0.939594603717318,1.89921851598019,-1.42305375510445,5.73085616386083,3.32709644348461,Prevalence
"Relative reduction
in EIR",3,15,40,15.6757982244572,1.39578481119778,13.0703329984111,-1.2059187934811,18.9143060021821,5.55502992918297,EIR
Nv,3,15,60,15.2702788108543,0.21766483900557,12.3883251190133,-2.55200807869936,18.0985247624434,2.39583597109322,Nv
"Relative reduction
in prevalence",3,15,60,5.57518876124524,1.40941369977399,3.84492022456974,-0.82168511797835,6.73783216386893,3.77975517853148,Prevalence
"Relative reduction
in EIR",3,15,60,23.2795248972951,2.36350184136645,20.4807419871756,-1.84712492955115,27.1981207798469,6.46890794961234,EIR
Nv,3,15,80,20.0959281731367,-0.0555332360270216,18.3170909945029,-1.17861370681936,25.4806828630619,1.39791700678258,Nv
"Relative reduction
in prevalence",3,15,80,7.46146178059027,1.77126215115894,5.95143893567818,-0.460716890152434,9.58269404412839,4.13841409407921,Prevalence
"Relative reduction
in EIR",3,15,80,30.1189416724462,2.56004803590286,26.7225524216,-1.18131148700684,35.6659326366776,6.71698852106593,EIR
Nv,3,15,100,25.5383412123872,0.419149907992684,23.4010105949856,-1.3491828468344,32.2473429753783,2.507171996634,Nv
"Relative reduction
in prevalence",3,15,100,9.76036976989165,2.60120208106857,7.97910678683786,0.556052168864787,11.3123635163177,4.46510953505,Prevalence
"Relative reduction
in EIR",3,15,100,37.7675900894895,3.79224131765322,35.1583715884371,0.000801115390935645,42.8878365870461,7.31071231279836,EIR
Nv,4,20,20,2.81127861852407,-0.150990116514161,0.0702502394334742,-2.789549954725,4.25217674033122,1.46572342721377,Nv
"Relative reduction
in prevalence",4,20,20,1.15811698100689,0.168482991685374,-1.98652300790199,-2.3215376924508,3.3145745144524,2.729857996626,Prevalence
"Relative reduction
in EIR",4,20,20,6.556661935146,0.517371354708393,1.70821446507519,-5.26796792164486,12.0702146200497,6.25257253807961,EIR
Nv,4,20,40,5.46635067764191,-0.493870936136377,2.63185823669359,-3.10922801524112,7.71796926309627,1.18710590987547,Nv
"Relative reduction
in prevalence",4,20,40,2.77908746818041,0.601942403815758,0.468009282449255,-1.44929807144617,5.91331211606882,3.08523206359148,Prevalence
"Relative reduction
in EIR",4,20,40,12.838050010903,0.446151985485124,7.94200355019377,-4.82070980800179,17.0451922456536,4.0015385228632,EIR
Nv,4,20,60,8.97633341367419,0.0509752461529276,6.97031678788794,-1.51749100919771,12.0543216685118,1.92845942046606,Nv
"Relative reduction
in prevalence",4,20,60,4.60292405774662,1.40949582606586,2.9043125338246,-0.63848899881049,6.51425497200763,3.12597005071716,Prevalence
"Relative reduction
in EIR",4,20,60,20.3898933265579,2.4884014838204,17.0206306122087,-1.6718271652856,24.5996121112109,5.11401085944591,EIR
Nv,4,20,80,11.7385405997021,-0.246019178689091,8.74643205878004,-2.71726865843098,15.6002029801707,1.56351998377791,Nv
"Relative reduction
in prevalence",4,20,80,5.70717691760959,1.22553956374796,3.40857416494673,-1.06510464998689,8.06199762500075,4.69325722106573,Prevalence
"Relative reduction
in EIR",4,20,80,25.8391337769178,1.83562908913512,23.2082816995123,-1.6102954311317,30.5410099333053,7.58832937544133,EIR
Nv,4,20,100,15.1407415456336,0.138061326398179,10.1486265456855,-4.43714903739991,19.7770090691275,1.303690638771,Nv
"Relative reduction
in prevalence",4,20,100,7.38680882618127,1.88811893123442,5.2654463715837,-0.247482557402023,9.07772135848234,4.4291209744977,Prevalence
"Relative reduction
in EIR",4,20,100,32.3971164788414,2.90386110704732,29.2372033757255,-2.01457540116258,36.1287818759807,6.28120420739919,EIR
Nv,6,30,20,1.28508307106302,0.0898410055661273,-2.92082394818667,-4.10118089837838,3.47088480240011,2.42496454345981,Nv
